year,station_code,station_name,region,lat,lon,month,day,max_24,suma_mensual
1995,M0007,Nuevo Rocafuerte,Amazonia,-0.916,-75.4,1,16,33.1,157.2
1995,M0007,Nuevo Rocafuerte,Amazonia,-0.916,-75.4,2,28,4.9,6.3
1995,M0007,Nuevo Rocafuerte,Amazonia,-0.916,-75.4,3,4,77.1,349.5
1995,M0007,Nuevo Rocafuerte,Amazonia,-0.916,-75.4,4,12,26.4,169.0
1995,M0007,Nuevo Rocafuerte,Amazonia,-0.916,-75.4,5,18,106.6,445.8
1995,M0007,Nuevo Rocafuerte,Amazonia,-0.916,-75.4,6,18,68.5,270.3
1995,M0007,Nuevo Rocafuerte,Amazonia,-0.916,-75.4,7,20,36.7,196.5
1995,M0007,Nuevo Rocafuerte,Amazonia,-0.916,-75.4,8,4,56.3,172.1
1995,M0007,Nuevo Rocafuerte,Amazonia,-0.916,-75.4,9,20,37.0,264.3
1995,M0007,Nuevo Rocafuerte,Amazonia,-0.916,-75.4,10,15,60.5,209.7
1995,M0007,Nuevo Rocafuerte,Amazonia,-0.916,-75.4,11,19,33.5,132.1
1995,M0007,Nuevo Rocafuerte,Amazonia,-0.916,-75.4,12,30,21.7,99.8
1995,M0008,Puyo,Amazonia,-1.483,-77.983,1,17,44.1,222.5
1995,M0008,Puyo,Amazonia,-1.483,-77.983,2,5,76.1,205.2
1995,M0008,Puyo,Amazonia,-1.483,-77.983,3,20,79.8,484.9
1995,M0008,Puyo,Amazonia,-1.483,-77.983,4,12,49.5,254.1
1995,M0008,Puyo,Amazonia,-1.483,-77.983,5,11,75.5,522.7
1995,M0008,Puyo,Amazonia,-1.483,-77.983,6,16,53.3,375.0
1995,M0008,Puyo,Amazonia,-1.483,-77.983,7,20,102.5,578.4
1995,M0008,Puyo,Amazonia,-1.483,-77.983,8,16,70.6,230.3
1995,M0008,Puyo,Amazonia,-1.483,-77.983,9,20,79.6,343.2
1995,M0008,Puyo,Amazonia,-1.483,-77.983,10,22,35.8,192.9
1995,M0008,Puyo,Amazonia,-1.483,-77.983,11,19,55.6,369.2
1995,M0008,Puyo,Amazonia,-1.483,-77.983,12,7,42.5,341.3
1995,M0024,Quito,Sierra,-0.166,-78.483,1,10,6.2,14.9
1995,M0024,Quito,Sierra,-0.166,-78.483,2,20,31.8,85.2
1995,M0024,Quito,Sierra,-0.166,-78.483,3,20,28.2,118.7
1995,M0024,Quito,Sierra,-0.166,-78.483,4,7,20.1,158.4
